Feature,GB_MDI_Importance,RF_MDI_Importance,Test_Permutation_Mean,Test_Permutation_Std,Linear_Standardized_Coef
age,0.3733883941048512,0.36176673428365896,0.7147445135818231,0.05106474115369196,6.894503680981008
cement,0.2885566965219129,0.3028448669948833,0.5357101887156425,0.05540401478821995,12.118761039722713
water,0.09600709370844826,0.08437862342827415,0.18004235797831103,0.017551336163008708,-2.8278540907374827
slag,0.07930036655481422,0.07214878268471192,0.14355337683998762,0.014211795832384187,8.437272466887485
superplastic,0.0887625875006688,0.089165721576588,0.07215224853598484,0.006569417140774444,1.970793289153642
fineagg,0.04598370983381989,0.04618022326027039,0.04410709861369533,0.006580628047078531,1.6699454186725493
coarseagg,0.016258837437111914,0.02669723067131193,0.012809127967599542,0.003189146573447611,1.198982825190761
ash,0.011742314338372807,0.016817817100301297,0.0028027035689864865,0.0017872106780902524,5.439504869429291
